Phrynoglossus myanhessei, Occidozyga
Platyplectrum ornatum, Limnodynastes ornatus
Lithobates yavapaiensis, Rana yavapaiensis
Lithobates sylvaticus, Rana_sylvatica
Lithobates pipiens, Rana_pipiens
Lithobates clamitans, Rana_clamitans
Glandirana rugosa, Rugosa rugosa
Boulenophrys sangzhiensis, Xenophrys_sangzhiensis
Boana pugnax, Hypsiboas_pugnax
Aquarana catesbeiana, Rana_catesbeiana
TPA_asm:_Leptobrachium, Leptobrachium_ailaonicum
TSA:_Rana_catesbeiana, Rana_catesbeiana
TSA:_Lithobates_pipiens, Rana_pipiens
TSA:_Amolops_wuyiensis, Amolops_wuyiensis
TSA:_Odorrana_tormota, Odorrana_tormota
TSA:_Rana_clamitans, Rana_clamitans
TSA:_Rhacophorus_dennysi, Rhacophorus_dennysi
TSA:_Zhangixalus_omeimontis, None
TSA:_Pyxicephalus_adspersus, Pyxicephalus_adspersus
TSA:_Polypedates_megacephalus, Occidozyga
TSA:_Pelophylax_nigromaculatus, Pelophylax_nigromaculatus
